,ML1,ML2,ML3,ML4,ML5,ML6,ML7,ML8,ML9
Viet Nam,-0.656804393988,1.70081346843,0.32211681403,0.344732256062,0.737802126923,0.130044099269,-0.528384974172,0.586983060297,-0.475229754288
Zimbabwe,0.865375590472,0.238131196095,-0.0635462658991,0.131405187672,-0.0138835132272,-0.281866823615,-0.330970972373,0.757038345946,0.0589332509405
Andorra,-0.900750323941,-0.275101580295,0.6926190075,-0.0959451550012,-0.145404690978,0.392311620047,0.577601831124,-1.48405250804,0.619762396059
Trinidad and Tobago,0.682258064063,-0.310660206196,-0.0582506698939,0.178297241929,-0.120364206922,0.440207764965,0.0643764304373,0.498467340874,0.410721840839
Burkina Faso,0.800172645477,0.107881051587,-0.311256914797,-0.214680264549,0.205038682507,-0.262958566124,0.128098917809,0.459356385045,0.0996371249334
Cyprus (G),0.286345340569,0.150939684362,0.0966064446645,0.17160427669,0.0101974628286,0.236100234098,-0.0248160192122,0.001605259151,-0.125422309795
Ghana,0.999746927893,0.515695306352,-0.321541235331,0.118256439578,0.180105393015,0.188753195546,-0.465525939995,0.714378468887,-0.191970730322
Malaysia,0.654710026657,0.708156701683,-0.304466010106,-0.474841495525,0.217162206721,0.385267636736,-0.652429081142,0.342680133358,-0.652493978323
Italy,0.076144638312,-0.194325677337,0.379714161218,0.161364301825,-0.148829105303,0.082597911856,0.460167870663,-0.130677935531,0.16393166727
Mali,0.882576506553,0.557509224641,-0.19745142628,-0.548127426394,0.329729702733,-0.0254328789403,-0.0144972916606,0.0828916733559,-0.216872505528
Rwanda,0.506921063259,0.555661424859,-0.0550488004937,0.0694539783314,0.371925681188,-0.122241421827,-0.351730195292,0.669072927631,-0.0925401534625
Thailand,0.085555508786,0.130757343822,0.0114796911282,-0.23442542666,0.676509319384,0.280866669216,-0.427245623673,0.320902178955,-0.5792631426
Zambia,0.740361101367,-0.00290876104841,-0.134298986387,-0.728464073747,0.277061344188,-0.225536325899,0.015860219026,0.103466301628,-0.249737597543
Ethiopia,0.593257336636,-0.246695699278,-0.0893898480648,0.234497466105,0.78091881505,-0.256715860232,0.22538977287,0.614549538496,0.0395656906108
France,-0.775007188646,-0.0909446498801,0.564481231364,-0.240643943332,-0.121839987205,0.153916242248,0.540102865269,-0.707861989886,0.254029209555
Guatemala,0.836622974613,-0.572346725604,0.547577903427,-0.345417175255,-0.134563224717,0.480078116924,-0.631752762654,0.215464695914,0.360795561458
Hong Kong,-0.878225360486,0.257941610602,-0.054186604988,-0.165402533414,-0.023357043222,-0.10100828716,0.0457058054135,-0.156236026369,-0.0952235621894
Netherlands,-0.763618129605,0.000614454518775,0.521268960817,0.0609859341986,0.198718573925,0.487128269033,0.48412952453,-1.12520037067,0.437978310465
Qatar,0.97599289133,1.3191761118,-0.643730718683,0.262361030591,0.56002004637,0.729218568434,-0.271209164044,0.731674427768,-0.287738004277
Uzbekistan,0.156657904613,1.59799122987,-0.694663074343,0.156065087884,0.110266480205,0.51366857704,-0.448079775181,0.536573466848,-0.0121659168527
Kazakhstan,-0.203029151175,0.518922941718,-0.57460996569,-0.243099893957,0.0809422015594,0.0563400156173,-0.731204690375,0.146057811637,-0.0834942541909
Palestine,0.699981028068,-0.210621098421,-0.457216088725,-0.157321723682,0.21767976738,-0.307329420397,-0.177028532707,0.644296919771,-0.669041178519
Ecuador,0.61783316469,-0.182446874159,0.344708616042,-0.0251356091367,0.0240090819448,0.582147479388,-0.643674009923,0.377562454106,-0.351137013116
Libya,0.76578822779,-0.369856929195,-0.545222213604,0.222910541649,0.365697950296,0.299901803943,-0.348559226255,0.679216525511,-0.939106979684
Yemen,0.865242440193,-0.637645149775,-0.634745108637,0.161037608453,-0.0518238889871,-0.283844060377,-0.479246841059,0.609101329045,-0.382216392334
Lebanon,0.178017670923,-0.302011158513,-0.0460313892899,-0.549503082197,0.147306071283,-0.114500821299,-0.171947806055,0.148661371343,-0.544032623544
Tunisia,0.675614680289,-0.67877869649,-0.322341157817,0.165298881916,-0.0609917825683,-0.248978273277,-0.535804300745,0.666041145115,-0.0359463889825
Bahrain,0.369151057385,0.763258726023,0.879983011154,-0.0867974556277,0.465393390367,-0.105696333809,-0.292035490279,0.499175402182,-0.311955028095
Kuwait,0.724401642567,0.390198951957,-0.377345947067,-0.297262156342,0.474272363419,0.393704631529,-0.262722760524,0.427799318017,-0.43517693927
Austria,-0.327815900039,-0.108931951781,0.408589865182,0.0984428005877,0.0384763351258,0.418387615763,0.241204938251,-0.424159166049,0.159863400599
Belgium,-0.588916501017,-0.119410752298,0.643632860036,-0.235157830861,-0.257923567458,0.339139921221,0.381959709075,-0.520942039476,0.25313981007
Cyprus (T),0.190554274407,0.18186449764,0.572348739992,0.558697458589,0.0453189988086,-0.0946478315939,-0.0333408965034,0.342458208734,-0.828212325077
Denmark,-0.772535860244,0.273061620908,0.723544597671,0.356905473469,0.192794638928,0.724045106086,0.647558057065,-0.972745778768,0.459212430876
Greece,0.106167550343,-0.515601773021,0.464003062488,-0.246698610155,0.0722862625572,0.0203120357301,0.18592050514,-0.255450272563,0.141954498137
Iceland,-0.332209949034,0.181270995233,0.448277659167,0.27040061109,0.0661206535198,0.681172808546,0.758505526941,-0.710224558924,0.54453237426
Ireland,0.234287015139,0.20536914316,0.413426034366,0.155538052123,-0.114964934345,0.668518059804,0.25191758239,0.0466666335419,0.253415124256
Luxembourg,-0.626300683007,0.27296234656,0.663219890771,-0.175678048844,0.0397218234473,0.450479975632,0.525887600372,-0.703697205344,0.305522843693
Malta,0.689415621222,0.208620714213,0.154938683681,0.513408727843,-0.0702170964125,0.464542589178,-0.0938049697684,0.665889476855,0.0004919146614
Portugal,0.0399319117737,-0.0155625171747,0.328727555494,-0.0215943350019,-0.445800748218,-0.126829492662,-0.0944281043618,0.0157198822244,0.214298932324
North Ireland,0.055197650756,0.0268366196693,0.254884654069,0.194779440079,-0.203967225597,0.533637337266,0.18400238495,0.0391686391946,0.23475660538
Kosovo,0.573163372687,0.673065917017,-0.10946627348,0.435977657173,0.291142969774,0.00347422749317,0.497951243234,0.813138338697,-0.393564863828
